FACE_ID,Date,Start_Time,Batch_Number,Fines_kg,Fines_Moisture_,Coarse_kg,Coarse_Moisture_,Cement_kg,Water_kg,Cement:Water_Ratio,Cubic_M,Superplasticiser_kg,Accelerator_,Fibre_kg,Additive_1_kg,Add_1_Fines_kg,Add_1_Coarse_kg,Add_1_Cement_kg,Add_1_Water_kg,Add_1_Superplasticiser_kg,Add_2_Fines_kg,Add_2_Coarse_kg,Add_2_Cement_kg,Add_2_Water_kg,Add_2_Superplasticiser_kg
RUP_1075_662_DEC_09,2022-10-26,05:30:00,2.0,3000.0,,1500.0,,1350.0,515.0,0.3814814814814815,2.641684636118598,9.0,4.0,6.0,,,,,,,,,,,
RUP_1075_662_DEC_10,2022-10-28,11:00:00,1.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,10.0,5.0,6.0,,,,,50.0,2.0,,,,30.0,
RUP_1075_662_DEC_10,2022-10-28,15:30:00,2.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,4.5,6.0,,,,,,4.0,,,,,
RUP_1025_983_DEC_66,2022-10-28,22:00:00,1.0,3000.0,,1500.0,,1350.0,370.0,0.2740740740740741,2.4966846361185984,12.0,4.0,6.0,,,,,,,,,,,
RUP_1025_983_DEC_66,2022-10-28,23:00:00,2.0,2000.0,,1000.0,,960.0,260.0,0.2708333333333333,1.6968373764600182,8.0,4.0,4.0,,,,,30.0,,,,,,
RUP_1075_662_DEC_11,2022-10-30,06:00:00,1.0,4000.0,,2000.0,,1800.0,720.0,0.4,3.5555795148247977,16.0,4.0,8.0,,,,,,,,,,,
RUP_1025_983_DEC_67,2022-10-30,11:40:00,1.0,3000.0,,1500.0,,1350.0,480.0,0.35555555555555557,2.6066846361185982,9.0,3.5,9.0,,,,,,,,,,,
RUP_1025_983_DEC_67,2022-10-30,13:45:00,2.0,3000.0,,1500.0,,1350.0,490.0,0.362962962962963,2.6166846361185985,9.0,3.5,9.0,,,,,,,,,,,
RUP_1075_662_DEC_12,2022-10-31,10:35:00,1.0,3000.0,,1500.0,,1350.0,510.0,0.37777777777777777,2.636684636118598,9.0,4.0,9.0,,,,,,,,,,,
RUP_1075_662_DEC_12,2022-10-31,11:43:00,2.0,2000.0,,1000.0,,900.0,320.0,0.35555555555555557,1.7377897574123988,6.0,4.0,6.0,,,,,,,,,,,
RUP_1025_983_DEC_68,2022-11-01,05:15:00,1.0,3000.0,,1500.0,,1350.0,400.0,0.2962962962962963,2.526684636118598,12.0,4.0,6.0,,,,,,,,,,,
RUP_1025_983_DEC_68,2022-11-01,06:00:00,2.0,3000.0,,1500.0,,1350.0,380.0,0.2814814814814815,2.506684636118598,12.0,4.0,6.0,,,,,,,,,,,
